sentence,parent_sentence,seed1,seed2
"Netflix est une plateforme de streaming vidéo qui offre une large sélection de films, séries télévisées et documentaires",Netflix est une plateforme de,films,télévisées
Wikipédia est un projet d'encyclopédie collaboratif édité par des bénévoles,Wikipédia est un projet d'encyclopédie,édité,collaboratif
"L'intellectuel français Voltaire a dit: ""La tolérance est un ingrédient essentiel de la civilisation",L'intellectuel français Voltaire,ingrédient,essentiel
Le président Emmanuel Macron assure le peuple canadien ,Le président Emmanuel Macron,assure,peuple
Le président Emmanuel Macron assure le peuple canadien que le gouvernement français,Le président Emmanuel Macron assure le peuple canadien ,gouvernement,français
Le président Emmanuel Macron assure le peuple canadien que le gouvernement français va continuer à défendre le Canada,Le président Emmanuel Macron assure le peuple canadien que le gouvernement français,continuer,défendre
Le président Emmanuel Macron assure le peuple canadien que le gouvernement français va continuer à défendre le Canada contre la menace américaine,Le président Emmanuel Macron assure le peuple canadien que le gouvernement français va continuer à défendre le Canada,menace,américaine
"En 1310, l'université de Paris était la première université d'Europe.","En 1310, l'université de Paris",université,Europe
"En 1310, l'université de Paris était la première université d'Europe. Elle est considérée","En 1310, l'université de Paris était la première université d'Europe.",considérée,est
"En 1310, l'université de Paris était la première université d'Europe. Elle est considérée comme l'université la plus prestigieuse en France.","En 1310, l'université de Paris était la première université d'Europe. Elle est considérée",université,prestigieuse
"En 1310, l'université de Paris fut fondée par le pape Boniface VIII","En 1310, l'université de Paris",Boniface,pape
"La banane est un fruit très tropical, riche en vitamines et",La banane est un fruit,tropical,riche
La banane est un fruit délicieux et nutritif caractérisé par sa forme,La banane est un fruit,nutritif,caractérisé
J'adore la tour Eiffel. Elle est absolument magnifique et symbolise le triomphe de l'architecture moderne.,J'adore la tour Eiffel,symbolise,architecture
Une mélodie est composée de différentes notes et accords,Une mélodie est composée de,notes,harmonie
"Une mélodie est composée de différentes notes et accords, créant une harmonie étonnante et délicate.  ",Une mélodie est composée de différentes notes et accords,harmonie,délicate
"Une mélodie est composée de différentes notes et accords, créant une harmonie étonnante et délicate. La combinaison de ces éléments","Une mélodie est composée de différentes notes et accords, créant une harmonie étonnante et délicate.  ",combinaison,éléments
Les problèmes d'éducation sont fréquents dans notre société actuelle. Il est essentiel de trouver un équilibre divin entre l'éducation traditionnelle et moderne.,Les problèmes d'éducation sont,fréquents,société
"Avec le changement climatique, la beauté divine de notre planète est menacée par la déforestation tropicale qui ravage les écosystèmes",Avec le changement climatique,beauté,planète
"En 1847, la première salade César a été composée par Caesar Cardini, un chef","En 1847, la première salade César",composée,chef
"En 1310, l'université de Paris fut fondée par le pape Boniface VIII","En 1310 , l'université de Paris",fondée,pape
"En 1310, le navigateur italien Marco Polo a traversé l'océan Indien et","En 1310, le navigateur italien Marco Polo",navigateur,italien
La population parisienne admire la magnifique tour Eiffel construite par l'architecte,La population parisienne,population,admire
Cette espèce de plante est très appréciée,Cette espèce de plante,espèce,appréciée
Cette espèce de plante est très appréciée pour sa qualité artistique.,Cette espèce de plante est très appréciée,qualité,artistique
Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique,Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique,beauté,unique
"En 1905, Albert Einstein a développé sa théorie de la relativité restreinte","En 1905, Albert Einstein",théorie,relativité
"En 1757, Voltaire a publié un pamphlet contre le fanatisme religieux","En 1757, Voltaire",pamphlet,fanatisme
Le territoire français s'étend sur 643 801 km².,Le territoire français,territoire,km
"En 1830, la Belgique déclare son indépendance de la Hollande","En 1830, la Belgique",indépendance,déclare
"Créée par Napoléon Bonaparte en 1804, le Code civil est la loi fondamentale qui régit les relations civiles en France.",Créée par Napoléon Bonaparte en 1804,Code,civil
Le territoire français est situé en Europe et fait partie de l'Union Européenne.,Le territoire français est,Europe,Européenne
"Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée,",Le territoire français est situé en Europe et fait partie de l'Union Européenne.,Méditerranée,bordé
"Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée, l'océan Atlantique et la Manche.","Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée,",l'océan,Atlantique
"Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée, l'océan Atlantique et la Manche. La France est connue pour sa riche histoire.","Le territoire français est situé en Europe et fait partie de l'Union Européenne. Il est bordé par la mer Méditerranée, l'océan Atlantique et la Manche.",riche,histoire
Il est important de noter que la pollution atmosphérique a un impact direct sur la,Il est important de noter que,pollution,atmosphérique
"En 1761, Jean-Jacques Rousseau a écrit ""Du Contrat Social"" qui déclare que","En 1761 , Jean-Jacques Rousseau",Contrat,Social
L'actuelle pandémie de COVID-19 a eu un impact,L'actuelle pandémie,impact,COVID-19
L'actuelle pandémie de COVID-19 a eu un impact considérable sur l'économie,L'actuelle pandémie de COVID-19 a eu un impact,considérable,économie
La Tour Eiffel mesure 324 mètres,La Tour Eiffel,metres,mesure
"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris","En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est",située,Paris
"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris et est considérée comme","En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris",considérée,est
"En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris et est considérée comme l'un des symboles les plus emblématiques de la France.","En 1878 , la Tour Eiffel a été construite par Gustave Eiffel. Elle est située à Paris et est considérée comme",symboles,emblématiques
"En 1789 , la Révolution française a commencé et a changé le cours de l'histoire","En 1789 , la Révolution française ",cours,histoire
Il est important de noter que la pollution atmosphérique,Il est important de noter que,pollution,atmosphérique
Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. ,Il est important de noter que la pollution atmosphérique,impact,direct
Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. ,particules,toxiques
Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes,causer,air
Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer des problèmes respiratoires,Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer,respiratoires,problèmes
"Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer des problèmes respiratoires, cardiovasculaires et même des cancers.",Il est important de noter que la pollution atmosphérique a un impact direct sur la santé humaine. Les particules toxiques présentes dans l'air peuvent causer des problèmes respiratoires,cardiovasculaires,cancers
"En 1731 , Jean-Baptiste François Prévost a publié le premier ","En 1731 , Jean-Baptiste François Prévost",premier,publié
"En 1731 , Jean-Baptiste François Prévost a publié le premier tome de son roman ""Histoire de Manon Lescaut""","En 1731 , Jean-Baptiste François Prévost a publié le premier tome ",Historie,tome
"En 1731 , Jean-Baptiste François Prévost a publié le premier tome de son roman ""Histoire de Manon Lescaut"" qui raconte l'histoire","En 1731 , Jean-Baptiste François Prévost a publié le premier tome de son roman ""Histoire de Manon Lescaut""",raconte,histoire
